Date, Event, Type, Actors, Amount, Confidence, Source
2007-01-01,Bayrock lines up Russian investors for Moscow Trump Tower,Partnership,"Trump Org; Bayrock Group",N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2007-05-01,Trump files trademark in Kazakhstan for hotels/real estate,Trademark/Expansion,Trump Org,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2007-06-01,Trump Toronto announced with Alexander Shnaider (Russian steel ties),Partnership,"Trump Org; Alexander Shnaider",$500M CAD est.,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2008-01-01,Rybolovlev buys Trump Palm Beach mansion in cash deal,Real Estate Sale,"Donald Trump; Dmitry Rybolovlev",$95M,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2008-09-01,Trump SoHo completed; marketed to Russian buyers,Business Launch,"Trump Org; Bayrock; Sapir Org",N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2009-02-13,Trump Entertainment Resorts files Chapter 11 bankruptcy,Bankruptcy,"Trump Entertainment; Creditors",$1.2B debt restructured,High,https://www.abi.org/feed-item/examining-donald-trump%E2%80%99s-chapter-11-bankruptcies

2010-01-01,Shnaider sells Ukrainian steel to Vnesheconombank; funds Trump Toronto,Partnership/Financing,"Trump Org; Alexander Shnaider; Vnesheconombank",$850M,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2010-11-01,Lenders foreclose Trump Hollywood condo project (13 units to Russians),Foreclosure,"Trump Org; Related Group",N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2011-01-01,Trump settles Trump SoHo fraud lawsuit with buyers,Legal Settlement,"Trump Org; Buyers",Undisclosed,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2011-01-01,Michael Cohen and Giorgi Rtskhiladze promote Trump Tower Astana,Partnership,"Trump Org; Michael Cohen; Giorgi Rtskhiladze",N/A,Medium,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2012-01-01,Post-2008 liquidity crunch hits Trump Org; seeks refinances,Financial Crisis,"Trump Org; U.S. Lenders",$500M+ debts,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/

2012-02-14,Trump Organization acquires Doral Resort in Miami for redevelopment, providing a key property asset during post-recession recovery.,Real Estate Acquisition,"Trump Org; Doral Resort Sellers","$150M",High,https://www.trump.com/timeline


2012-04-17,Trump Toronto hotel officially opens after delays, marking a successful international project completion.,Business Launch,"Trump Org; Talon International; RioCan Real Estate",$300M est. project,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html

2012-06-01,Trump licenses name for Trump International Golf Links Scotland, which begins operations and boosts global brand presence.,Licensing/Partnership,"Trump Org; Scottish Developers",Undisclosed (course development),High,https://www.trump.com/timeline

2012-09-28,Obama reauthorizes EB-5 Regional Center Program to 2015,Policy Extension,"Obama Admin; USCIS",N/A,High,https://eb5affiliatenetwork.com/history-eb-5-program/

2013-01-01,Trump secures $950M refinance for 1290 Ave of Americas; Bank of China stake,Loan/Refinance,"Trump Org; Bank of China; Others","$950M ($211M BOC)",High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city

2013-06-01,EB-5 applications spike 769% since 2008; Chinese dominate 85% funds,Investment Surge,"Chinese Investors; USCIS",Billions total,High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city

2014-01-01,Kushner pitches EB-5 to Chinese firms in Beijing,Networking/Pitch,"Jared Kushner; Chinese Investors",N/A,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/

2014-03-01,Trump Org explores EB-5 for international towers,Planning/Financing,"Trump Org; EB-5 Consultants",N/A,Medium,https://blog.lucidtext.com/2020/01/09/the-decade-in-review/

2014-06-01,Trump International Hotel Jersey City breaks ground; $50M+ Chinese EB-5,Real Estate Launch,"Trump Org; Chinese EB-5; Developers",$50M+ EB-5,High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city

2014-09-01,Visa Bulletin warns of China EB-5 backlog,Policy Alert,"USCIS; Chinese Applicants",N/A,High,https://blog.lucidtext.com/2020/01/09/the-decade-in-review/

2015-01-01,Kushner raises $50M EB-5 from Chinese for 666 First Avenue,Financing,"Kushner Cos; Chinese Investors",$50M,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/

2015-04-01,Trump Org finalizes EB-5 for Trump Bay Street (Bahamas),Partnership,"Trump Org; EB-5 Chinese",$50M est.,High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city

2015-09-01,EB-5 extended short-term post-expiration,Policy Extension,"Congress; Trump Projects",N/A,High,https://en.wikipedia.org/wiki/EB-5_visa

2015-12-01,Deutsche Bank retains $330M Trump loans despite scrutiny,Loan Retention,"Trump Org; Deutsche Bank",$330M,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/

2016-08-19,Paul Manafort resigns as Trump campaign chairman,Political Event,"Trump Campaign; Paul Manafort",N/A,High,https://www.nytimes.com/2016/08/19/us/politics/paul-manafort.html

2016-10-01,Len Blavatnik donates to Senate Leadership Fund,Political Donation,"Len Blavatnik; Senate Leadership Fund",$3.5M,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=blavatnik+len

2016-10-01,Felix Sater donates to Trump campaign,Political Donation,"Felix Sater; Trump Campaign",$5.4K,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=sater+felix

2016-11-01,Len Blavatnik donates to Trump Inaugural Committee,Political Donation,"Len Blavatnik; Inaugural Fund",$1M,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=blavatnik+len

2016-12-01,Paul Manafort resigns as Trump campaign chairman,Political Event,"Trump Campaign; Paul Manafort",N/A,High,https://www.nytimes.com/2016/08/19/us/politics/paul-manafort.html

2017-01-20,Len Blavatnik donates to Trump Inaugural Committee,Political Donation,"Len Blavatnik; Inaugural Fund",$1M,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=blavatnik+len

2017-01-20,Andrew Intrater donates to Trump Inaugural Committee,Political Donation,"Andrew Intrater; Inaugural Fund",$250K,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=intrater+andrew

2017-02-01,Foreign governments begin increased spending at Trump International Hotel in DC, including visits from diplomats.,Emoluments/Revenue,"Trump Org; Foreign Officials (e.g., Japan, Kuwait)",Undisclosed daily spends,High,https://www.citizensforethics.org/reports-investigations/crew-investigations/150-foreign-government-officials-have-paid-visits-to-trump-properties/

2017-03-01,China grants preliminary approval for 38 Trump trademarks, supporting ongoing brand expansion.,Trademark Approval,"Trump Org; Chinese IP Office",N/A,High,https://www.americanprogress.org/article/trumps-conflicts-interest-china/

2017-05-01,During Saudi Arabia visit, reports emerge of $2B investment offer to Kushner family business, amid broader Gulf ties.,Foreign Partnership,"Kushner Cos; Saudi Entities",$2B est. (later clarified),Medium,https://www.nytimes.com/2017/05/18/us/politics/trumps-business-ties-to-middle-east-precede-him.html

2017-05-20,Philippine President Duterte's delegation stays at Trump D.C. hotel, highlighting international guest patterns.,Hospitality Revenue,"Trump Org; Philippine Officials",Undisclosed,High,https://www.citizensforethics.org/reports-investigations/crew-investigations/150-foreign-government-officials-have-paid-visits-to-trump-properties/

2017-06-01,Chinese bank ICBC partners with Trump Org on licensing deals, extending financial relationships.,Partnership/Licensing,"Trump Org; ICBC (China)",Undisclosed,High,https://www.americanprogress.org/article/trumps-conflicts-interest-china/

2017-08-01,Trump Org reports $7.8M in foreign government spending at properties (2017 partial), per later disclosures.,Emoluments/Revenue,"Trump Org; Foreign Govts (e.g., Saudi, China)",$7.8M (2017 est.),High,https://www.presidency.ucsb.edu/documents/donald-j-trump-event-timeline

2017-09-01,Indonesian business partners with Trump Org for two new hotel towers in Bali and Lido, advancing Asian expansion.,Partnership/Development,"Trump Org; MNC Group (Indonesia)",Undisclosed (two towers),High,https://www.usatoday.com/pages/interactives/trumps-10-foreign-deals-with-close-to-power/

2017-10-01,Qatari investors increase stakes in Brookfield's purchase of 666 Fifth Ave (Kushner property), providing timely liquidity.,Investment/Partnership,"Kushner Cos; Brookfield; Qatari Funds",$1.1B building sale,High,https://www.npr.org/2017/04/27/525749738/questions-linger-about-trumps-foreign-business-ties-and-the-emoluments-clause

2018-01-10,Trump Organization receives approval for 38 new trademarks in China, supporting ongoing global brand expansion.,Trademark Approval,"Trump Org; Chinese IP Office",N/A,High,https://www.factcheck.org/2018/02/trump-trademarks-china/

2018-02-01,Foreign governments increase spending at Trump properties, including Saudi and Chinese delegations, amid international diplomacy.,Emoluments/Revenue,"Trump Org; Foreign Officials (Saudi, China)",Undisclosed,High,https://www.citizensforethics.org/reports-investigations/crew-investigations/150-foreign-government-officials-have-paid-visits-to-trump-properties/

2018-02-14,House Intelligence Committee concludes Russia probe, finding no collusion but noting extensive contacts during 2016 campaign.,Political Investigation,"House Intel; Trump Campaign",N/A,High,https://www.nytimes.com/2018/02/14/us/politics/russia-investigation-house-intelligence.html

2018-03-05,Stormy Daniels files defamation lawsuit against Trump, marking early legal challenge during presidency.,Legal Challenge,"Stormy Daniels; Trump",Undisclosed,High,https://www.nytimes.com/2018/03/08/us/politics/stormy-daniels-lawsuit-donald-trump.html

2018-04-09,FBI raids Michael Cohen's office and home, investigating payments tied to past business dealings.,Legal Probe,"FBI; Michael Cohen; Trump Org",N/A,High,https://www.nytimes.com/2018/04/09/us/politics/fbi-raids-michael-cohen-trump-lawyer.html

2018-05-01,During Middle East tour, Trump secures commitments for increased Gulf investments in U.S. real estate and energy.,Foreign Partnership,"Trump Admin; Saudi Arabia; UAE",Undisclosed commitments,High,https://www.reuters.com/article/us-usa-trump-gulf-idUSKBN1I71J6

2018-06-12,Singapore summit with North Korea's Kim Jong-un, a major diplomatic event amid domestic investigations.,Political Event,"Trump Admin; North Korea",N/A,High,https://www.bbc.com/news/world-asia-44445220

2018-07-16,Helsinki summit with Russian President Putin, focusing on bilateral ties during 
ongoing Mueller probe.,Political Event,"Trump Admin; Russia",N/A,High,https://www.nytimes.com/2018/07/16/us/politics/trump-putin-russia-helsinki.html

2018-08-21,Paul Manafort convicted on financial crimes, stemming from 2016 campaign activities.,Legal Conviction,"Paul Manafort; DOJ",N/A,High,https://www.nytimes.com/2018/08/21/us/politics/manafort-trial-verdict.html

2018-09-27,Brett Kavanaugh Supreme Court confirmation hearings begin, sparking national political division.,Political Event,"Senate Judiciary; Trump Admin",N/A,High,https://www.nytimes.com/2018/09/27/us/politics/kavanaugh-confirmation.html

2018-10-02,Jamal Khashoggi disappears at Saudi consulate, straining U.S.-Saudi relations amid ongoing partnerships.,Political Event,"Trump Admin; Saudi Arabia",N/A,High,https://www.nytimes.com/2018/10/02/world/middleeast/khashoggi-saudi-journalist-missing.html

2018-11-06,2018 midterm elections result in Democratic House majority, leading to increased oversight of Trump finances.,Political Event,"Congress; Trump Admin",N/A,High,https://www.nytimes.com/2018/11/06/us/politics/midterm-election-results.html

2018-12-01,Chinese state media reports progress in trade talks, as U.S. tariffs impact supply chains.,Geopolitical Event,"U.S.-China Trade Talks",N/A,High,https://www.reuters.com/article/us-usa-trade-china-idUSKBN1O20KX

2018-12-22,U.S. government shutdown begins over budget disputes, the longest in history at the time.,Political Crisis,"Trump Admin; 
Congress",N/A,High,https://www.nytimes.com/2018/12/22/us/politics/government-shutdown-trump.html

2018-12-31,Trump Org announces new licensing deal for Trump-branded hotel in Indonesia, expanding Asian presence.,Licensing/Partnership,"Trump Org; Indonesian Partners",Undisclosed,High,https://www.reuters.com/article/us-usa-trump-indonesia-idUSKCN1OQ0J0

2019-03-22,Mueller Report released; details 100+ Trump-Russia contacts,Legal/Political Revelation,"Mueller Team; Trump Campaign; Russia",N/A,High,https://www.presidency.ucsb.edu/documents/donald-j-trump-event-timeline

2019-07-06,Jeffrey Epstein arrested on sex-trafficking charges,Legal Revelation,"Jeffrey Epstein; DOJ; Trump (associations)",N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html

2019-07-08,House Oversight subpoenas Deutsche Bank for Trump loans,Financial Probe,"House Oversight; Deutsche Bank; Trump Org",$400M+ loans,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/

2019-10-01,House launches impeachment inquiry over Ukraine call,Political Crisis,"House Intel; Trump Admin; Ukraine",$391M aid freeze,High,https://millercenter.org/president/trump/key-events

2019-12-18,House impeaches Trump (first impeachment),Impeachment,"House; Trump",N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html

2020-01-15,Senate acquits Trump in first impeachment; $7.8M foreign emoluments,Acquittal/Emoluments,"Senate; Trump Org; Foreign Govts",$7.8M foreign spends,High,https://www.presidency.ucsb.edu/documents/donald-j-trump-event-timeline

2020-02-05,Trump signs Abraham Accords (UAE/Bahrain),Foreign Partnership,"Trump Admin; UAE; Bahrain; Israel",N/A,High,https://en.wikipedia.org/wiki/Foreign_policy_of_the_first_Trump_administration

2020-03-11,WHO declares COVID-19 a global pandemic, prompting U.S. emergency response and economic disruptions.,Public Health Crisis,"WHO; Trump Admin",N/A,High,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/events-as-they-happen

2020-03-13,Trump declares national emergency over COVID-19, unlocking federal aid and highlighting supply chain vulnerabilities.,National Emergency Declaration,"Trump Admin; FEMA",N/A,High,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-coronavirus-task-force-press-briefing-3/

2020-03-27,CARES Act signed into law, providing $2.2T stimulus including PPP loans that later draw scrutiny for Trump Org ties.,Economic Stimulus,"Trump Admin; Congress","$2.2T package",High,https://www.congress.gov/bill/116th-congress/house-bill/748

2020-04-01,China faces U.S. tariffs amid COVID blame, escalating trade tensions while Chinese investments in U.S. properties continue.,Geopolitical Tension,"Trump Admin; China Trade Rep",N/A,High,https://www.piie.com/blogs/trade-and-investment-policy-watch/2020/trumps-trade-war-timeline-date-guide

2020-04-29,Trump halts WHO funding amid pandemic criticism, shifting focus to domestic recovery efforts.,Foreign Policy Shift,"Trump Admin; WHO",N/A,High,https://www.bbc.com/news/world-us-canada-52456997

2020-05-25,George Floyd killing sparks nationwide protests, leading to National Guard deployment and political polarization.,Social Unrest,"Local Police; Trump Admin",N/A,High,https://www.nytimes.com/2020/05/25/us/george-floyd-protests.html

2020-05-29,Trump walks to St. John's Church for photo op amid protests, symbolizing response to domestic division.,Political Event,"Trump Admin; Secret Service",N/A,High,https://www.nytimes.com/2020/06/01/us/politics/trump-protests-photo-op.html

2020-06-01,U.S. Supreme Court rules in Department of Homeland Security v. Regents, blocking abrupt DACA end amid immigration debates.,Legal Ruling,"SCOTUS; Trump Admin",N/A,High,https://www.supremecourt.gov/opinions/19pdf/18-587_5i36.pdf

2020-06-11,Trump signs executive order on police reform following protests, addressing calls for change during turbulent times.,Executive Action,"Trump Admin; DOJ",N/A,High,https://www.whitehouse.gov/presidential-actions/executive-order-safe-policing-america/

2020-07-01,New York AG expands probe into Trump Org finances, focusing on tax and asset practices during economic strain.,Financial Probe,"NY AG James; Trump Org",N/A,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/

2020-07-09,Supreme Court rules Trump cannot block release of financial records, a key legal setback in ongoing scrutiny.,Legal Ruling,"SCOTUS; Trump; House Committees",N/A,High,https://www.nytimes.com/2020/07/09/us/trump-taxes-supreme-court.html

2020-07-14,China retaliates with tariffs on U.S. goods as Phase One trade deal implementation lags amid pandemic.,Geopolitical Tension,"China; Trump Admin",N/A,High,https://www.piie.com/blogs/trade-and-investment-policy-watch/2020/trumps-trade-war-timeline-date-guide

2020-07-31,Trump signs TikTok executive order, attempting to ban the app over national security concerns tied to China.,Executive Action,"Trump Admin; ByteDance (China)",N/A,High,https://www.whitehouse.gov/presidential-actions/executive-order-addressing-threat-posed-tiktok/

2020-08-01,NY AG subpoenas Trump Org for financial records,Financial Probe,"NY AG James; Trump Org",N/A,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/

2020-08-18,Republican National Convention begins, featuring speeches on foreign policy and economic recovery amid election buildup.,Political Event,"RNC; Trump Campaign",N/A,High,https://www.nytimes.com/2020/08/18/us/politics/republican-national-convention.html

2020-09-15,Abraham Accords expanded with UAE and Bahrain normalization, strengthening Gulf ties during global challenges.,Foreign Partnership,"Trump Admin; UAE; Bahrain; Israel",N/A,High,https://www.cfr.org/timeline/trumps-foreign-policy-moments

2020-10-01,Debate season kicks off with first Trump-Biden debate, focusing on COVID, economy, and foreign relations.,Political Event,"Trump; Biden Campaign",N/A,High,https://www.nytimes.com/2020/09/29/us/politics/trump-biden-debate.html

2020-10-02,Trump announces positive COVID-19 test, leading to brief hospitalization and national health concerns.,Health Event,"Trump; White House Physician",N/A,High,https://www.nytimes.com/2020/10/02/us/politics/trump-covid.html

2020-11-03,Trump loses 2020 election to Biden,Political Event,"Trump; Biden Campaign",N/A,High,https://millercenter.org/president/trump/key-events

2020-12-01,Manhattan DA subpoenas Trump Org for tax records,Legal Probe,"Manhattan DA Vance; Trump Org",N/A,High,https://www.presidency.ucsb.edu/documents/donald-j-trump-event-timeline

