Date, Event, Type, Actors, Amount, Confidence, Source
1992-03-01,Trump Plaza Hotel (NYC) files Chapter 11 bankruptcy,Bankruptcy,Trump Plaza Hotel; 6 lenders,$550M debt,High,https://www.presidency.ucsb.edu/documents/press-release-senator-mar identify-rubio-issues-statement-trump-campaigns-response-fbi
1992-03-01,Trump Castle and Trump Plaza (Atlantic City) file Chapter 11,Bankruptcy,Trump Casinos; Creditors,Operational debt,High,https://www.politifact.com/factchecks/2016/jun/21/hillary-clinton/yep-donald-trumps-companies-have-declared-bankrupt/
1993-04-23,Trump flies on Epstein jet (Palm Beach to Teterboro),Personal Travel,Donald Trump; Jeffrey Epstein,N/A,High,https://abcnews.go.com/US/times-trumps-appeared-epstein-files-doj-released/story?id=123848078
1993-10-11,Trump flies on Epstein jet (NYC route),Personal Travel,Donald Trump; Jeffrey Epstein,N/A,High,https://www.nytimes.com/2025/07/17/us/politics/timeline-trump-epstein.html
1993-10-17,Trump flies on Epstein jet (NYC route),Personal Travel,Donald Trump; Jeffrey Epstein,N/A,High,https://nymag.com/intelligencer/article/epstein-documents-trump.html
1994-05-15,Trump flies on Epstein jet (Palm Beach to NYC),Personal Travel,Donald Trump; Jeffrey Epstein,N/A,High,https://www.businessinsider.com/donald-eric-trump-private-jet-jeffrey-epstein-ghislaine-maxwell-trial-2021-12
1995-01-01,Trump reports $916M loss on tax return,Tax Reporting,Donald Trump (personal),$916M loss,High,https://www.nytimes.com/2016/10/04/nyregion/donald-trump-taxes-debt.html
1995-08-13,Trump flies on Epstein jet (NYC route),Personal Travel,Donald Trump; Jeffrey Epstein,N/A,High,https://www.forbes.com/sites/saradorn/2025/07/24/heres-every-known-link-between-trump-and-epstein-resurfaced-footage-shows-epstein-talking-about-socializing-with-trump/
1997-01-05,Final documented Epstein jet flight with Trump,Personal Travel,Donald Trump; Jeffrey Epstein,N/A,High,https://www.forbes.com/sites/saradorn/2025/07/24/heres-every-known-link-between-trump-and-epstein-resurfaced-footage-shows-epstein-talking-about-socializing-with-trump/
1997-11-22,"Trump siblings gain ownership of most of Fred Trump's real estate empire through GRAT transfers, providing significant asset infusion during recovery.",Asset Transfer/Family Infusion,Donald Trump; Siblings; Fred Trump Estate,~41.4M claimed value (later $900M appraisal),High,https://www.nytimes.com/interactive/2018/10/02/us/politics/donald-trump-tax-schemes-fred-trump.html
2003-01-01,Trump partners with Canouan Resorts for Trump Club Privee casino and golf course development in St. Vincent and the Grenadines.,Partnership/Development,Trump Org; Canouan Resorts Development,Undisclosed (25 villas + golf course),High,https://www.usatoday.com/pages/interactives/trumps-10-foreign-deals-with-close-to-power/
2004-11-01,Trump calls Epstein twice (last documented contact before falling out),Personal Contact,Donald Trump; Jeffrey Epstein,N/A,High,https://www.businessinsider.com/trump-epstein-friendship-timeline-history-2019-7
2004-11-21,Trump Hotels and Casinos Resorts files Chapter 11 bankruptcy,Bankruptcy,Trump Hotels & Casinos; Creditors,$1.8B debt restructured,High,https://www.abi.org/feed-item/examining-donald-trump%E2%80%99s-chapter-11-bankruptcies
2004-12-01,Trump and Epstein fall out over Palm Beach mansion bid,Social Break,Donald Trump; Jeffrey Epstein,N/A,High,https://www.businessinsider.com/trump-epstein-friendship-timeline-history-2019-7
2005-01-01,Trump signs licensing deal with Bayrock (Russian/Kazakh ties) for Moscow tower,Partnership,Trump Org; Bayrock Group,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2005-06-01,Trump and Ivanka meet Panamanian developer for Trump Ocean Club,Partnership,Trump Org; Roger Khafif,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2006-01-01,Felix Sater plans Ivanka Trump Moscow trip (sits in Putin's chair),Partnership/Travel,Trump Org; Felix Sater; Bayrock,N/A,Medium,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2006-06-01,Trump SoHo licensing deal with Bayrock/Sapir (marketed to Russians),Partnership,Trump Org; Bayrock; Felix Sater; Sapir Org,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2007-01-01,"Trump calls Russia """"one of the hottest places for investment""""",Public Statement,Donald Trump,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2007-01-01,Bayrock lines up Russian investors for Moscow Trump Tower,Partnership,Trump Org; Bayrock Group,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2007-05-01,Trump files trademark in Kazakhstan for hotels/real estate,Trademark/Expansion,Trump Org,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2007-06-01,Trump Toronto announced with Alexander Shnaider (Russian steel ties),Partnership,Trump Org; Alexander Shnaider,$500M CAD est.,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2008-01-01,Rybolovlev buys Trump Palm Beach mansion in cash deal,Real Estate Sale,Donald Trump; Dmitry Rybolovlev,$95M,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2008-09-01,Trump SoHo completed; marketed to Russian buyers,Business Launch,Trump Org; Bayrock; Sapir Org,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2009-02-13,Trump Entertainment Resorts files Chapter 11 bankruptcy,Bankruptcy,Trump Entertainment; Creditors,$1.2B debt restructured,High,https://www.abi.org/feed-item/examining-donald-trump%E2%80%99s-chapter-11-bankruptcies
2010-01-01,Shnaider sells Ukrainian steel to Vnesheconombank; funds Trump Toronto,Partnership/Financing,Trump Org; Alexander Shnaider; Vnesheconombank,$850M,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2010-11-01,Lenders foreclose Trump Hollywood condo project (13 units to Russians),Foreclosure,Trump Org; Related Group,N/A,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2011-01-01,Trump settles Trump SoHo fraud lawsuit with buyers,Legal Settlement,Trump Org; Buyers,Undisclosed,High,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2011-01-01,Michael Cohen and Giorgi Rtskhiladze promote Trump Tower Astana,Partnership,Trump Org; Michael Cohen; Giorgi Rtskhiladze,N/A,Medium,https://themoscowproject.org/explainers/a-timeline-of-trumps-deals-and-investments-in-eastern-europe-and-central-asia/index.html
2012-01-01,Post-2008 liquidity crunch hits Trump Org; seeks refinances,Financial Crisis,Trump Org; U.S. Lenders,$500M+ debts,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/
2012-09-28,Obama reauthorizes EB-5 Regional Center Program to 2015,Policy Extension,Obama Admin; USCIS,N/A,High,https://eb5affiliatenetwork.com/history-eb-5-program/
2013-01-01,Trump secures $950M refinance for 1290 Ave of Americas; Bank of China stake,Loan/Refinance,Trump Org; Bank of China; Others,$950M ($211M BOC),High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city
2013-06-01,EB-5 applications spike 769% since 2008; Chinese dominate 85% funds,Investment Surge,Chinese Investors; USCIS,Billions total,High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city
2014-01-01,Kushner pitches EB-5 to Chinese firms in Beijing,Networking/Pitch,Jared Kushner; Chinese Investors,N/A,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/
2014-03-01,Trump Org explores EB-5 for international towers,Planning/Financing,Trump Org; EB-5 Consultants,N/A,Medium,https://blog.lucidtext.com/2020/01/09/the-decade-in-review/
2014-06-01,Trump International Hotel Jersey City breaks ground; $50M+ Chinese EB-5,Real Estate Launch,Trump Org; Chinese EB-5; Developers,$50M+ EB-5,High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city
2014-09-01,Visa Bulletin warns of China EB-5 backlog,Policy Alert,USCIS; Chinese Applicants,N/A,High,https://blog.lucidtext.com/2020/01/09/the-decade-in-review/
2015-01-01,Kushner raises $50M EB-5 from Chinese for 666 First Avenue,Financing,Kushner Cos; Chinese Investors,$50M,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/
2015-04-01,Trump Org finalizes EB-5 for Trump Bay Street (Bahamas),Partnership,Trump Org; EB-5 Chinese,$50M est.,High,https://www.theguardian.com/us-news/2016/mar/07/donald-trump-building-chinese-immigrant-labor-eb-5-visa-jersey-city
2015-09-01,EB-5 extended short-term post-expiration,Policy Extension,Congress; Trump Projects,N/A,High,https://en.wikipedia.org/wiki/EB-5_visa
2015-12-01,Deutsche Bank retains $330M Trump loans despite scrutiny,Loan Retention,Trump Org; Deutsche Bank,$330M,High,https://www.politifact.com/article/2017/may/15/deeper-look-kushner-companies-eb-5-visa-program-an/
2016-08-19,Paul Manafort resigns as Trump campaign chairman,Political Event,Trump Campaign; Paul Manafort,N/A,High,https://www.nytimes.com/2016/08/19/us/politics/paul-manafort.html
2016-10-01,Len Blavatnik donates to Senate Leadership Fund,Political Donation,Len Blavatnik; Senate Leadership Fund,$3.5M,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=blavatnik+len
2016-10-01,Felix Sater donates to Trump campaign,Political Donation,Felix Sater; Trump Campaign,$5.4K,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=sater+felix
2016-11-01,Len Blavatnik donates to Trump Inaugural Committee,Political Donation,Len Blavatnik; Inaugural Fund,$1M,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=blavatnik+len
2016-12-01,Paul Manafort resigns as Trump campaign chairman,Political Event,Trump Campaign; Paul Manafort,N/A,High,https://www.nytimes.com/2016/08/19/us/politics/paul-manafort.html
2017-01-20,Len Blavatnik donates to Trump Inaugural Committee,Political Donation,Len Blavatnik; Inaugural Fund,$1M,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=blavatnik+len
2017-01-20,Andrew Intrater donates to Trump Inaugural Committee,Political Donation,Andrew Intrater; Inaugural Fund,$250K,High,https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=intrater+andrew
2019-03-22,Mueller Report released; details 100+ Trump-Russia contacts,Legal/Political Revelation,Mueller Team; Trump Campaign; Russia,N/A,High,https://www.presidency.ucsb.edu/documents/donald-j-trump-event-timeline
2019-07-06,Jeffrey Epstein arrested on sex-trafficking charges,Legal Revelation,Jeffrey Epstein; DOJ; Trump (associations),N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html
2019-07-08,House Oversight subpoenas Deutsche Bank for Trump loans,Financial Probe,House Oversight; Deutsche Bank; Trump Org,$400M+ loans,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/
2019-10-01,House launches impeachment inquiry over Ukraine call,Political Crisis,House Intel; Trump Admin; Ukraine,$391M aid freeze,High,https://millercenter.org/president/trump/key-events
2019-12-18,House impeaches Trump (first impeachment),Impeachment,House; Trump,N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html
2020-01-15,Senate acquits Trump in first impeachment; $7.8M foreign emoluments,Acquittal/Emoluments,Senate; Trump Org; Foreign Govts,$7.8M foreign spends,High,https://www.presidency.ucsb.edu/documents/donald-j-trump-event-timeline
2020-02-05,Trump signs Abraham Accords (UAE/Bahrain),Foreign Partnership,Trump Admin; UAE; Bahrain; Israel,N/A,High,https://en.wikipedia.org/wiki/Foreign_policy_of_the_first_Trump_administration
2020-07-14,China retaliates with tariffs on U.S. goods as Phase One trade deal implementation lags amid pandemic.,Geopolitical Tension,China; Trump Admin,N/A,High,https://www.piie.com/blogs/trade-and-investment-policy-watch/2020/trumps-trade-war-timeline-date-guide
2020-08-01,NY AG subpoenas Trump Org for financial records,Financial Probe,NY AG James; Trump Org,N/A,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/
2020-11-03,Trump loses 2020 election to Biden,Political Event,Trump; Biden Campaign,N/A,High,https://millercenter.org/president/trump/key-events
2020-12-01,Manhattan DA subpoenas Trump Org for tax records,Legal Probe,Manhattan DA Vance; Trump Org,N/A,High,https://www.presidency.ucsb.edu/documents/donald-j-trump-event-timeline
2021-01-06,Capitol riot; Trump impeached for incitement,Political Crisis/Impeachment,Trump; Rioters; Congress,N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html
2021-01-20,Trump leaves office; $2M+ Saudi/Qatari emoluments,Transition/Emoluments,Trump Org; Saudi/Qatar Govts,$2M+ foreign,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/
2021-02-13,Senate acquits Trump in second impeachment; Epstein docs unsealed,Acquittal/Revelation,Senate; Trump; Epstein Estate,N/A,High,https://www.nytimes.com/interactive/2021/02/08/us/politics/trump-second-impeachment-timeline.html
2021-03-01,New York AG expands investigation into Trump Org tax and financial practices.,Financial Probe,NY AG James; Trump Org,N/A,High,https://www.washingtonpost.com/politics/2023/04/01/trump-investigations-history-timeline/
2021-06-30,House forms select committee to investigate January 6 Capitol attack.,Political Investigation,House Select Committee; Trump (focus),N/A,High,https://www.nytimes.com/2021/06/30/us/politics/jan-6-committee.html
2021-07-01,Trump Org ends Deutsche Bank loans (paid off),Loan End,Trump Org; Deutsche Bank,$300M+ repaid,High,NYT Feb 2021
2021-09-21,NY AG sues Trump Org for asset fraud,Civil Lawsuit,NY AG James; Trump Org; DB,$250M+ alleged fraud,High,https://millercenter.org/president/trump/key-events
2021-10-07,Trump announces plans for 2024 presidential run during speech at Iowa rally.,Political Event,Trump; GOP Supporters,N/A,High,https://www.nytimes.com/2021/10/07/us/politics/trump-2024-run.html
2021-11-18,January 6 committee subpoenas Trump associates including Rudy Giuliani and Sidney Powell.,Legal Probe,House Select Committee; Trump Allies,N/A,High,https://www.nytimes.com/2021/11/18/us/politics/jan-6-subpoenas.html
2021-12-01,Trump files lawsuit against New York AG Letitia James over civil fraud investigation.,Legal Challenge,Trump; NY AG James,N/A,High,https://www.nytimes.com/2021/12/01/nyregion/trump-lawsuit-letitia-james.html
2022-01-06,One-year anniversary of January 6; Trump holds rally and continues to contest election results.,Political Event,Trump; Supporters,N/A,High,https://www.nytimes.com/2022/01/06/us/politics/trump-jan-6-rally.html
2022-02-01,Truth Social SPAC merger (DWAC) amid cash needs,Business Launch/Financing,Trump Media; DWAC investors,$293M valuation,High,SEC filings
2023-03-01,NY civil fraud trial begins; $355M+ penalty looming,Legal Crisis,Trump Org; NY AG Letitia James,$355M judgment (2024),High,Court records
2023-06-01,Federal indictments (classified docs); asset freeze fears,Legal Crisis,Trump; DOJ,N/A,High,DOJ announcements
2024-01-01,Foreign govts spent $millions at Trump properties (2017–21 data),Emoluments/Revenue,China ($5.5M+); Saudi ($615K); Qatar ($465K),$7M+ total foreign,High,Oversight Committee report
2024-02-01,Trump discloses $millions from Saudi developer (Dar Al Arkan),Real Estate Revenue,Trump Org; Dar Al Arkan (Saudi),Millions (undisclosed exact),High,Forbes Jun 2025 disclosure
2024-05-01,Hush money conviction; appeal bonds strain liquidity,Legal Crisis,Trump; NY courts,$175M bond posted,Medium,Court filings
2025-01-20,Inauguration; aid freeze announced; Gulf ties deepen,Political Event,Trump Admin; Foreign govts,N/A,High,Al Jazeera Jan 2025
2025-04-30,New Mideast golf/real estate deal w/ Qatari firm,Partnership,Trump Org; Qatari gov-owned,Undisclosed (multi-year),High,NYT Apr 2025
2025-05-13,$600B Saudi investment commitment signed,Investment/Partnership,Trump; Saudi Crown Prince MBS,$600B over years,High,White House fact sheet
2025-05-16,$200B UAE deals incl. AI agreement,Investment/Partnership,Trump; UAE,$200B commitments,High,Reuters May 2025
2025-09-30,New Trump Tower Saudi Arabia (crypto venture),Real Estate Launch,Trump Org; Saudi partners,Undisclosed,Medium,YouTube/Trump Org announcement
